Generating Solution for Advent of Code 2020 - Day 5 / Part 1
Reading input file data/day5-input.txt to solve Day 5 Part 1
Boarding Card FBFBFFFLLL: row 40, col 0, Seat ID 320
Boarding Card FFBBBBFLRR: row 30, col 3, Seat ID 243
Boarding Card BFBFBBBLLL: row 87, col 0, Seat ID 696
Boarding Card FFBBBBBLLL: row 31, col 0, Seat ID 248
Boarding Card BFFBBBBRLL: row 79, col 4, Seat ID 636
Boarding Card BBBFFBFRLL: row 114, col 4, Seat ID 916
Boarding Card FFBBFFFRRR: row 24, col 7, Seat ID 199
Boarding Card FFBFFBBLRL: row 19, col 2, Seat ID 154
Boarding Card FBFFBFBRRR: row 37, col 7, Seat ID 303
Boarding Card FBFFBFBRLL: row 37, col 4, Seat ID 300
Boarding Card BFFBFFFRLR: row 72, col 5, Seat ID 581
Boarding Card FFFBBFFRRR: row 12, col 7, Seat ID 103
Boarding Card BFBFBBFLLL: row 86, col 0, Seat ID 688
Boarding Card FBFBBFFRRL: row 44, col 6, Seat ID 358
Boarding Card BFFBFBFLRL: row 74, col 2, Seat ID 594
Boarding Card FBFFFBFRRL: row 34, col 6, Seat ID 278
Boarding Card FBFBFFBRRR: row 41, col 7, Seat ID 335
Boarding Card FBFBFFBRLL: row 41, col 4, Seat ID 332
Boarding Card BFBFFFBLLL: row 81, col 0, Seat ID 648
Boarding Card BFBFFBBLRL: row 83, col 2, Seat ID 666
Boarding Card FBFFFFBRRL: row 33, col 6, Seat ID 270
Boarding Card BFFFBFFRRL: row 68, col 6, Seat ID 550
Boarding Card FBFBFFFRLR: row 40, col 5, Seat ID 325
Boarding Card BFFFFBBLLR: row 67, col 1, Seat ID 537
Boarding Card FFBFFFFRLR: row 16, col 5, Seat ID 133
Boarding Card BBFBBFFLLL: row 108, col 0, Seat ID 864
Boarding Card FFBFFBFRRR: row 18, col 7, Seat ID 151
Boarding Card FBFBFBBRRR: row 43, col 7, Seat ID 351
Boarding Card BBBFFFFLRR: row 112, col 3, Seat ID 899
Boarding Card FFFBFFBRRR: row 9, col 7, Seat ID 79
Boarding Card BFFBFBFLRR: row 74, col 3, Seat ID 595
Boarding Card BFFFBBBRLL: row 71, col 4, Seat ID 572
Boarding Card FFBFBBBRLR: row 23, col 5, Seat ID 189
Boarding Card FBFFFFBLLR: row 33, col 1, Seat ID 265
Boarding Card FBBFBFFLRL: row 52, col 2, Seat ID 418
Boarding Card FBFFFFFRLL: row 32, col 4, Seat ID 260
Boarding Card FBBBBFBRLL: row 61, col 4, Seat ID 492
Boarding Card BFBBBBFLLL: row 94, col 0, Seat ID 752
Boarding Card FBBBFBBRRR: row 59, col 7, Seat ID 479
Boarding Card BFFFBFBLLL: row 69, col 0, Seat ID 552
Boarding Card FBBBBBFLRL: row 62, col 2, Seat ID 498
Boarding Card BFBBBFFLRR: row 92, col 3, Seat ID 739
Boarding Card BFBBFBBLRR: row 91, col 3, Seat ID 731
Boarding Card FFBBBFFLRR: row 28, col 3, Seat ID 227
Boarding Card FFBBBBFRLR: row 30, col 5, Seat ID 245
Boarding Card BFFFBFFLLR: row 68, col 1, Seat ID 545
Boarding Card FBBFFFBRRL: row 49, col 6, Seat ID 398
Boarding Card FBBBFBBLRR: row 59, col 3, Seat ID 475
Boarding Card FFBBFBFRRL: row 26, col 6, Seat ID 214
Boarding Card FFFBFBBLRR: row 11, col 3, Seat ID 91
Boarding Card FBFBBBBRLR: row 47, col 5, Seat ID 381
Boarding Card FBFFBFBLLL: row 37, col 0, Seat ID 296
Boarding Card FBBFFFFRLL: row 48, col 4, Seat ID 388
Boarding Card BBBFFFBLRL: row 113, col 2, Seat ID 906
Boarding Card FBBFBBBLLL: row 55, col 0, Seat ID 440
Boarding Card FFBBFBBLLR: row 27, col 1, Seat ID 217
Boarding Card FBFFFBBRLR: row 35, col 5, Seat ID 285
Boarding Card BBFBBFFRRL: row 108, col 6, Seat ID 870
Boarding Card FFFBBFFRLL: row 12, col 4, Seat ID 100
Boarding Card FBFFBBBLRL: row 39, col 2, Seat ID 314
Boarding Card BFFBFFFLRL: row 72, col 2, Seat ID 578
Boarding Card FFFFBBFRRR: row 6, col 7, Seat ID 55
Boarding Card FBBFBBFLLR: row 54, col 1, Seat ID 433
Boarding Card BFBFBFBRRL: row 85, col 6, Seat ID 686
Boarding Card BBFBFBBRRR: row 107, col 7, Seat ID 863
Boarding Card BBBFFFBLLL: row 113, col 0, Seat ID 904
Boarding Card BFBFFBFRLL: row 82, col 4, Seat ID 660
Boarding Card FFBBFFBRRR: row 25, col 7, Seat ID 207
Boarding Card BFBBFFFRRL: row 88, col 6, Seat ID 710
Boarding Card BFBBBFBRRL: row 93, col 6, Seat ID 750
Boarding Card BFBBBBBRRR: row 95, col 7, Seat ID 767
Boarding Card BBFBFBFRLL: row 106, col 4, Seat ID 852
Boarding Card BBFFBFFLRL: row 100, col 2, Seat ID 802
Boarding Card BFFBBFFLLL: row 76, col 0, Seat ID 608
Boarding Card BFBFBFFLLL: row 84, col 0, Seat ID 672
Boarding Card FBBBFFFRLR: row 56, col 5, Seat ID 453
Boarding Card BFFFBBBLRL: row 71, col 2, Seat ID 570
Boarding Card FBFBFFFLRR: row 40, col 3, Seat ID 323
Boarding Card FBBBFBBLRL: row 59, col 2, Seat ID 474
Boarding Card FFBBFBBRLR: row 27, col 5, Seat ID 221
Boarding Card FBBFFFFLRL: row 48, col 2, Seat ID 386
Boarding Card FFFBFBBLLL: row 11, col 0, Seat ID 88
Boarding Card FBFBFFBRRL: row 41, col 6, Seat ID 334
Boarding Card BBFFBBFRRR: row 102, col 7, Seat ID 823
Boarding Card BFFFFBFRLR: row 66, col 5, Seat ID 533
Boarding Card FBFBFFBLRL: row 41, col 2, Seat ID 330
Boarding Card FFBFFBBLLL: row 19, col 0, Seat ID 152
Boarding Card FBFBBFBRLR: row 45, col 5, Seat ID 365
Boarding Card BFFBBFBRLR: row 77, col 5, Seat ID 621
Boarding Card FFBFBFBLLL: row 21, col 0, Seat ID 168
Boarding Card FFBBFFBRLR: row 25, col 5, Seat ID 205
Boarding Card FBBBBBBLLL: row 63, col 0, Seat ID 504
Boarding Card FFFBBBBRRL: row 15, col 6, Seat ID 126
Boarding Card BFBBFBBRLL: row 91, col 4, Seat ID 732
Boarding Card BBFFFBFLLR: row 98, col 1, Seat ID 785
Boarding Card FFBBBBFRRR: row 30, col 7, Seat ID 247
Boarding Card BFBFFFBRLL: row 81, col 4, Seat ID 652
Boarding Card BFBFFBFLRR: row 82, col 3, Seat ID 659
Boarding Card FFFFBBBLLR: row 7, col 1, Seat ID 57
Boarding Card FBFFBBFRLL: row 38, col 4, Seat ID 308
Boarding Card FFFFBBBRRL: row 7, col 6, Seat ID 62
Boarding Card FFBFFBBLLR: row 19, col 1, Seat ID 153
Boarding Card FBFFFBBLLL: row 35, col 0, Seat ID 280
Boarding Card FFBBBBFRLL: row 30, col 4, Seat ID 244
Boarding Card BBFFBFFLLL: row 100, col 0, Seat ID 800
Boarding Card BFBBBBBRRL: row 95, col 6, Seat ID 766
Boarding Card BFFBFBFLLL: row 74, col 0, Seat ID 592
Boarding Card FFBFBBFLLR: row 22, col 1, Seat ID 177
Boarding Card FFBFBBBLRL: row 23, col 2, Seat ID 186
Boarding Card BFFBFFBLRL: row 73, col 2, Seat ID 586
Boarding Card FBBBFFFRRR: row 56, col 7, Seat ID 455
Boarding Card FBBFFBBRRL: row 51, col 6, Seat ID 414
Boarding Card FBBFFBBLLR: row 51, col 1, Seat ID 409
Boarding Card BBFBBBFLRR: row 110, col 3, Seat ID 883
Boarding Card BBFFFBFRRL: row 98, col 6, Seat ID 790
Boarding Card FBFBFBFRRL: row 42, col 6, Seat ID 342
Boarding Card FFBFBBFRRR: row 22, col 7, Seat ID 183
Boarding Card FBFFBBBLLR: row 39, col 1, Seat ID 313
Boarding Card BBFBFFBRLL: row 105, col 4, Seat ID 844
Boarding Card BFBBBFBLRL: row 93, col 2, Seat ID 746
Boarding Card FFBBFFFLRR: row 24, col 3, Seat ID 195
Boarding Card BFFFBFFLRL: row 68, col 2, Seat ID 546
Boarding Card BFFBBBFLLL: row 78, col 0, Seat ID 624
Boarding Card FBBFFFBLRL: row 49, col 2, Seat ID 394
Boarding Card BBBFFBFLLL: row 114, col 0, Seat ID 912
Boarding Card BFBBFBBRLR: row 91, col 5, Seat ID 733
Boarding Card FBBBBBFRLL: row 62, col 4, Seat ID 500
Boarding Card FBBBBFBLRR: row 61, col 3, Seat ID 491
Boarding Card FFBFBBFRLR: row 22, col 5, Seat ID 181
Boarding Card BBFFFFBLLL: row 97, col 0, Seat ID 776
Boarding Card FBFBBBFRLR: row 46, col 5, Seat ID 373
Boarding Card FBBFBBBLRL: row 55, col 2, Seat ID 442
Boarding Card BBFFBBBRLL: row 103, col 4, Seat ID 828
Boarding Card FFBFBFFLLR: row 20, col 1, Seat ID 161
Boarding Card FFFBBFBRLL: row 13, col 4, Seat ID 108
Boarding Card FFBBBFFRLL: row 28, col 4, Seat ID 228
Boarding Card BFBBFFFLRR: row 88, col 3, Seat ID 707
Boarding Card FBBBFBFRLL: row 58, col 4, Seat ID 468
Boarding Card BBFBFBFLRR: row 106, col 3, Seat ID 851
Boarding Card BFBBBFFRLL: row 92, col 4, Seat ID 740
Boarding Card FFBFFFFRRR: row 16, col 7, Seat ID 135
Boarding Card BFBBBBBLLR: row 95, col 1, Seat ID 761
Boarding Card FBBBBBBRRR: row 63, col 7, Seat ID 511
Boarding Card BBFBBFFLRR: row 108, col 3, Seat ID 867
Boarding Card BFBFFBBLRR: row 83, col 3, Seat ID 667
Boarding Card BFFBFBBLRR: row 75, col 3, Seat ID 603
Boarding Card BFFBBFFRLR: row 76, col 5, Seat ID 613
Boarding Card FBBBFFBRRR: row 57, col 7, Seat ID 463
Boarding Card FFFFBBBRLR: row 7, col 5, Seat ID 61
Boarding Card FBFFFFFLLL: row 32, col 0, Seat ID 256
Boarding Card BBFFFBFLRR: row 98, col 3, Seat ID 787
Boarding Card BFFFFBFLRL: row 66, col 2, Seat ID 530
Boarding Card BFFBFFBLLL: row 73, col 0, Seat ID 584
Boarding Card BFFBBFBRRL: row 77, col 6, Seat ID 622
Boarding Card FFFBBFFLLR: row 12, col 1, Seat ID 97
Boarding Card FBFFFFBLRL: row 33, col 2, Seat ID 266
Boarding Card FBFFFBFLLR: row 34, col 1, Seat ID 273
Boarding Card FFBBFBBRLL: row 27, col 4, Seat ID 220
Boarding Card FFBFFBBRLR: row 19, col 5, Seat ID 157
Boarding Card FFBFFFBRRL: row 17, col 6, Seat ID 142
Boarding Card FFFBFBFLRR: row 10, col 3, Seat ID 83
Boarding Card BBFFBFFRRR: row 100, col 7, Seat ID 807
Boarding Card BBFFFFFLLL: row 96, col 0, Seat ID 768
Boarding Card FBBFBFBRLR: row 53, col 5, Seat ID 429
Boarding Card BBFBBFBLLR: row 109, col 1, Seat ID 873
Boarding Card BBFBBBFRRL: row 110, col 6, Seat ID 886
Boarding Card BFBFFBBLLR: row 83, col 1, Seat ID 665
Boarding Card FBBFFFFLLR: row 48, col 1, Seat ID 385
Boarding Card FFBFBFFRRL: row 20, col 6, Seat ID 166
Boarding Card FFFBFFBRRL: row 9, col 6, Seat ID 78
Boarding Card FBFBFFBRLR: row 41, col 5, Seat ID 333
Boarding Card BFBBFBFRLL: row 90, col 4, Seat ID 724
Boarding Card BBFBBBBLLR: row 111, col 1, Seat ID 889
Boarding Card BFBBBFFLLL: row 92, col 0, Seat ID 736
Boarding Card BBFBBBBRRL: row 111, col 6, Seat ID 894
Boarding Card BFBFBFBRLR: row 85, col 5, Seat ID 685
Boarding Card BFFFBFBRRL: row 69, col 6, Seat ID 558
Boarding Card BFFBBBFRRL: row 78, col 6, Seat ID 630
Boarding Card BFFFBFBRLL: row 69, col 4, Seat ID 556
Boarding Card FBFBFBFLRR: row 42, col 3, Seat ID 339
Boarding Card FFBFFBFLRR: row 18, col 3, Seat ID 147
Boarding Card BBFBBBBRLL: row 111, col 4, Seat ID 892
Boarding Card BFBBBFFLRL: row 92, col 2, Seat ID 738
Boarding Card FBBBBFBLLL: row 61, col 0, Seat ID 488
Boarding Card BBFBBBFLRL: row 110, col 2, Seat ID 882
Boarding Card BFBBFBFLLL: row 90, col 0, Seat ID 720
Boarding Card FBBBBBBLRL: row 63, col 2, Seat ID 506
Boarding Card FFBFFFBLLL: row 17, col 0, Seat ID 136
Boarding Card FFBBBBBRRL: row 31, col 6, Seat ID 254
Boarding Card FBBFFFBLLL: row 49, col 0, Seat ID 392
Boarding Card FBBBFFBLRR: row 57, col 3, Seat ID 459
Boarding Card BBBFFBFLLR: row 114, col 1, Seat ID 913
Boarding Card FFFFBBBLLL: row 7, col 0, Seat ID 56
Boarding Card FBBBBBBRLR: row 63, col 5, Seat ID 509
Boarding Card FFBFFBBRRR: row 19, col 7, Seat ID 159
Boarding Card BFFFBFFRLL: row 68, col 4, Seat ID 548
Boarding Card BBBFFFBRRR: row 113, col 7, Seat ID 911
Boarding Card FBBFBFFLLL: row 52, col 0, Seat ID 416
Boarding Card FBFBFBBRLR: row 43, col 5, Seat ID 349
Boarding Card FBFFFFFLRL: row 32, col 2, Seat ID 258
Boarding Card FFBBBBBRLR: row 31, col 5, Seat ID 253
Boarding Card FBBBFFBRRL: row 57, col 6, Seat ID 462
Boarding Card BFBBBBFRRL: row 94, col 6, Seat ID 758
Boarding Card FBFBBFBLLR: row 45, col 1, Seat ID 361
Boarding Card BBFFBBBLLL: row 103, col 0, Seat ID 824
Boarding Card BBBFFBFRLR: row 114, col 5, Seat ID 917
Boarding Card FFBBFFFLLL: row 24, col 0, Seat ID 192
Boarding Card FFBFFBBRRL: row 19, col 6, Seat ID 158
Boarding Card FBBBBFFLLL: row 60, col 0, Seat ID 480
Boarding Card FBBBBBFRRR: row 62, col 7, Seat ID 503
Boarding Card FBFFBBFLLR: row 38, col 1, Seat ID 305
Boarding Card FFFBFFFLRL: row 8, col 2, Seat ID 66
Boarding Card FFFBFBBRRL: row 11, col 6, Seat ID 94
Boarding Card BFFFBFFLLL: row 68, col 0, Seat ID 544
Boarding Card FBBBFBBLLL: row 59, col 0, Seat ID 472
Boarding Card FFBFBBBLLL: row 23, col 0, Seat ID 184
Boarding Card BFFFFFBLRL: row 65, col 2, Seat ID 522
Boarding Card FBBBFBFLRR: row 58, col 3, Seat ID 467
Boarding Card BBFFBBFLLR: row 102, col 1, Seat ID 817
Boarding Card FBFFBBBRLR: row 39, col 5, Seat ID 317
Boarding Card BFBFFFFLLR: row 80, col 1, Seat ID 641
Boarding Card BFBBBFBLLL: row 93, col 0, Seat ID 744
Boarding Card BBFBFBBRLR: row 107, col 5, Seat ID 861
Boarding Card FFFBBFBLLR: row 13, col 1, Seat ID 105
Boarding Card BFFBFBBRRL: row 75, col 6, Seat ID 606
Boarding Card BBFFBBFLRR: row 102, col 3, Seat ID 819
Boarding Card BFFBBBFLRR: row 78, col 3, Seat ID 627
Boarding Card FBFBBBBRRL: row 47, col 6, Seat ID 382
Boarding Card BFBFBFFRRL: row 84, col 6, Seat ID 678
Boarding Card BBFBBFFRLR: row 108, col 5, Seat ID 869
Boarding Card BBFBBBBRLR: row 111, col 5, Seat ID 893
Boarding Card FFBBFFFLLR: row 24, col 1, Seat ID 193
Boarding Card BBFBFBBLRR: row 107, col 3, Seat ID 859
Boarding Card FBFBFBFLLL: row 42, col 0, Seat ID 336
Boarding Card BFFFFBBRRR: row 67, col 7, Seat ID 543
Boarding Card BFBBBBFRRR: row 94, col 7, Seat ID 759
Boarding Card BFFFFFFLRL: row 64, col 2, Seat ID 514
Boarding Card BBBFFBFLRR: row 114, col 3, Seat ID 915
Boarding Card FFFBBBBRLR: row 15, col 5, Seat ID 125
Boarding Card FBBFFFBRLL: row 49, col 4, Seat ID 396
Boarding Card BBFFBBFLRL: row 102, col 2, Seat ID 818
Boarding Card FFBBBBBRRR: row 31, col 7, Seat ID 255
Boarding Card BBFFBFFRLL: row 100, col 4, Seat ID 804
Boarding Card BFFFFFBRRR: row 65, col 7, Seat ID 527
Boarding Card FBBFBFBRRR: row 53, col 7, Seat ID 431
