Generating Solution for Advent of Code 2020 - Day 4 / Part 2
Reading input file data/day4-input.txt to solve Day 4 Part 2
Passport 2, Valid
Passport 4, Valid
Passport 6, Valid
Passport 7, Valid
Passport 8, Valid
Passport 9, Valid
Passport 11, Valid
Passport 12, Valid
Passport 13, Valid
Passport 14, Valid
Passport 15, Valid
Passport 19, Valid
Passport 20, Valid
Passport 21, Valid
Passport 22, Valid
Passport 24, Valid
Passport 26, Valid
Passport 28, Valid
Passport 29, Valid
Passport 32, Valid
Passport 35, Valid
Passport 36, Valid
Passport 37, Valid
Passport 38, Valid
Passport 39, Valid
Passport 40, Valid
Passport 41, Valid
Passport 43, Valid
Passport 46, Valid
Passport 47, Valid
Passport 49, Valid
Passport 51, Valid
Passport 53, Valid
Passport 54, Valid
Passport 56, Valid
Passport 57, Valid
Passport 58, Valid
Passport 61, Valid
Passport 63, Valid
Passport 68, Valid
Passport 69, Valid
Passport 73, Valid
Passport 75, Valid
Passport 76, Valid
Passport 79, Valid
Passport 80, Valid
Passport 81, Valid
Passport 82, Valid
Passport 84, Valid
Passport 85, Valid
Passport 86, Valid
Passport 88, Valid
Passport 90, Valid
Passport 91, Valid
Passport 95, Valid
Passport 99, Valid
Passport 104, Valid
Passport 107, Valid
Passport 108, Valid
Passport 109, Valid
Passport 110, Valid
Passport 113, Valid
Passport 114, Valid
Passport 116, Valid
Passport 118, Valid
Passport 119, Valid
Passport 120, Valid
Passport 121, Valid
Passport 122, Valid
Passport 123, Valid
Passport 125, Valid
Passport 127, Valid
Passport 128, Valid
Passport 130, Valid
Passport 133, Valid
Passport 134, Valid
Passport 136, Valid
Passport 137, Valid
Passport 138, Valid
Passport 140, Valid
Passport 142, Valid
Passport 148, Valid
Passport 149, Valid
Passport 150, Valid
Passport 151, Valid
Passport 153, Valid
Passport 155, Valid
Passport 156, Valid
Passport 164, Valid
Passport 171, Valid
Passport 174, Valid
Passport 175, Valid
Passport 177, Valid
Passport 178, Valid
Passport 180, Valid
Passport 182, Valid
Passport 186, Valid
Passport 187, Valid
Passport 190, Valid
Passport 191, Valid
Passport 192, Valid
Passport 195, Valid
Passport 199, Valid
Passport 200, Valid
Passport 201, Valid
Passport 205, Valid
Passport 207, Valid
Passport 208, Valid
Passport 209, Valid
Passport 210, Valid
Passport 213, Valid
Passport 214, Valid
Passport 219, Valid
Passport 220, Valid
Passport 223, Valid
Passport 224, Valid
Passport 226, Valid
Passport 228, Valid
Passport 229, Valid
Passport 230, Valid
Passport 231, Valid
Passport 236, Valid
Passport 237, Valid
Passport 238, Valid
Passport 242, Valid
Passport 243, Valid
Passport 244, Valid
Passport 246, Valid
Passport 247, Valid
Passport 248, Valid
Passport 250, Valid
Passport 252, Valid
Passport 253, Valid
Passport 256, Valid
Passport 258, Valid
Passport 260, Valid
Passport 261, Valid
Passport 262, Valid
Passport 265, Valid
Passport 266, Valid
Passport 267, Valid
Passport 268, Valid
Passport 269, Valid
Passport 270, Valid
Passport 271, Valid
Passport 275, Valid
Passport 276, Valid
Passport 277, Valid
Passport 279, Valid
Count of valid passports = 149
